id,title,authors,year,venue,type,doi,url,scope,task,topic,method,finding,limit
RI11,Failure Detection in Deep Neural Networks for Medical Imaging,Ahmed S et al.,2022,Frontiers in Medical Technology 4:919046,Medical reliability primary,10.3389/fmedt.2022.919046,https://doi.org/10.3389/fmedt.2022.919046,Medical imaging,Classification,Failure detection,Bayesian DNN/self-assessment under natural noise,Frames failure detection as identifying likely model errors rather than merely identifying OOD inputs.,Not surgical and method/task-specific.
RI12,Uncertainty Estimation for Safety-critical Scene Segmentation via Fine-grained Reward Maximization,Yang H et al.,2023,NeurIPS 2023,Direct surgical primary,,https://papers.neurips.cc/paper_files/paper/2023/hash/71ec377d5df1fc61ee7770857820519b-Abstract-Conference.html,Surgical direct,Surgical scene segmentation,Calibration/UQ,FGRM evidential uncertainty fine-tuning,Direct surgical evidence that scene-segmentation uncertainty/calibration can be optimized while preserving task accuracy using one-pass inference.,Method-specific; does not by itself establish robustness under the full P0.4 shift suite.
RI13,Surgical Phase Recognition in Laparoscopic Cholecystectomy,Li Y et al.,2024,Procedia Computer Science 239:2006–2012,Direct surgical primary,10.1016/j.procs.2024.06.386,https://doi.org/10.1016/j.procs.2024.06.386,Surgical direct,Phase recognition,Calibrated confidence,Calibrated confidence for dynamic model switching,Calibrated confidence is already used operationally in surgical phase recognition to choose between models.,Does not systematically evaluate reliability across natural/controlled distribution shifts.
RI14,When Surgery Meets the Unknown: Uncertainty-Aware Open-Set Recognition for Surgery Phase Classification,"Geyer S, Kalogeiton V, Roitberg A",2026,VISAPP 2026,Direct surgical primary,10.5220/0014311000004084,https://doi.org/10.5220/0014311000004084,Surgical direct,Phase recognition,Open-set/OOD,Benchmark of open-set algorithms + evidential GEAR,Open-set surgical phase recognition and uncertainty-aware rejection are already directly studied on cholecystectomy data.,Open-set unknown-class setting differs from covariate-shift failure prediction.
RI15,Scene graph-guided uncertainty decomposition improves confidence calibration in surgical visual question answering,Song J et al.,2026,Frontiers in Medicine 13:1849346,Direct surgical primary,10.3389/fmed.2026.1849346,https://doi.org/10.3389/fmed.2026.1849346,Surgical direct,Surgical VQA,Calibration + selective answering,Scene-graph UQ decomposition + Dirichlet calibration,"Direct surgical evidence combines uncertainty decomposition, calibration and selective answering; reported accuracy 63.58%, ECE 16.97%, risk-coverage AUC 0.0861.",VQA differs from phase recognition/segmentation and uses constructed scene-graph pipeline.
RI16,Meta-SurDiff: Classification Diffusion Model Optimized by Meta Learning is Reliable for Online Surgical Phase Recognition,Li Y et al.,2025,arXiv:2506.14181,Direct surgical preprint,10.48550/arXiv.2506.14181,https://arxiv.org/abs/2506.14181,Surgical direct,Online phase recognition,Frame-level uncertainty,Classification diffusion + meta-learning,Emerging work explicitly models frame-level uncertainty for online phase recognition across five datasets.,Preprint; reliability/calibration claims require peer-reviewed confirmation.
RI17,OpenMIBOOD: Open Medical Imaging Benchmarks for Out-Of-Distribution Detection,"Gutbrod M, Rauber D, Nunes DW, Palm C",2025,CVPR 2025,Medical OOD benchmark with surgical domain,,https://openaccess.thecvf.com/content/CVPR2025/html/Gutbrod_OpenMIBOOD_Open_Medical_Imaging_Benchmarks_for_Out-Of-Distribution_Detection_CVPR_2025_paper.html,Surgical-relevant medical benchmark,OOD detection,OOD benchmark,24 post-hoc OOD methods across 3 medical benchmarks,PhaKIR is a dedicated endoscopy benchmark with smoke covariate shift plus near/far OOD datasets; rankings from natural-image OOD do not directly transfer to medical imaging.,OOD detection is not the same as predicting whether a surgical model output is wrong.
RI18,A Baseline for Detecting Misclassified and Out-of-Distribution Examples in Neural Networks,"Hendrycks D, Gimpel K",2017,ICLR,General OOD/failure foundation,,https://mlanthology.org/iclr/2017/hendrycks2017iclr-baseline/,General,Classification,OOD/failure detection,Maximum softmax probability,Provides the canonical simple confidence baseline for error/OOD detection.,OOD membership and prediction error are related but not equivalent.
RI19,Energy-based Out-of-distribution Detection,Liu W et al.,2020,NeurIPS,General OOD method,,https://proceedings.neurips.cc/paper/2020/hash/f5496252609c43eb8a3d147ab9b9c006-Abstract.html,General,Classification,OOD detection,Energy score,Energy scores provide a strong post-hoc/energy-based baseline for OOD detection.,General benchmark; medical/surgical performance must be verified rather than assumed.
RI20,Selective Classification for Deep Neural Networks,"Geifman Y, El-Yaniv R",2017,arXiv / selective-classification foundation,General selective prediction,10.48550/arXiv.1705.08500,https://arxiv.org/abs/1705.08500,General,Classification,Selective prediction,Confidence-based reject option with risk control,Formalizes the accuracy/risk versus coverage trade-off for deep classifiers with rejection.,General classification; task-specific confidence for segmentation/temporal outputs differs.
RI21,SelectiveNet: A Deep Neural Network with an Integrated Reject Option,"Geifman Y, El-Yaniv R",2019,ICML,General selective prediction,,https://proceedings.mlr.press/v97/geifman19a.html,General,Classification/regression,Selective prediction,Integrated selection head and coverage objective,End-to-end selective prediction can optimize risk–coverage rather than using only post-hoc thresholds.,Requires retraining; deployment constraints may favor post-hoc monitors.
RI22,Selective Prediction for Semantic Segmentation under Distribution Shift,"Borges BLC, Pacheco BM, Silva D",2024,ICLR 2024 Workshop,Medical segmentation workshop,,https://mlanthology.org/iclrw/2024/borges2024iclrw-selective/,Medical imaging,Semantic segmentation,Selective segmentation under shift,Post-hoc image-level confidence estimators,Selective prediction for semantic segmentation under distribution shift is already directly evaluated in medical imaging.,Workshop paper; not surgical-specific.
RI23,Soft Dice Confidence: A Near-Optimal Confidence Estimator for Selective Prediction in Semantic Segmentation,"Borges BLC, Pacheco BM, Silva D",2026,Machine Learning 115:176,Medical segmentation selective prediction,10.1007/s10994-026-07096-w,https://doi.org/10.1007/s10994-026-07096-w,Medical imaging,Semantic segmentation,Selective segmentation,Image-level Soft Dice Confidence,Provides a theoretically motivated image-level confidence estimator for Dice-oriented selective segmentation and evaluates six medical-imaging tasks including OOD scenarios.,Image-level abstention may be too coarse for surgical overlays; not surgical-specific.
RI24,Learning to Abstain: Reliable Medical Image Segmentation With Rejection Option,"Sanisoglu MA, Navab N, Kim ST",2026,IEEE Access 14:32655–32665,Medical segmentation selective prediction,10.1109/ACCESS.2026.3669004,https://doi.org/10.1109/ACCESS.2026.3669004,Medical imaging,Segmentation,Selective segmentation,Pixel-level rejection training,Directly trains segmentation models to abstain on uncertain pixels and reports improved accepted-pixel Dice across coverage levels.,Non-surgical medical segmentation; pixel-level abstention has different human-interface implications.
RI25,Conformal selective prediction with cost aware deferral for safe clinical triage under distribution shift,"Kwon H, Kim DJ",2026,Scientific Reports 16:10016,Clinical selective/conformal primary,10.1038/s41598-026-40637-w,https://doi.org/10.1038/s41598-026-40637-w,Clinical adjacent,Sepsis classification,Calibration + CP + deferral under shift,Temperature scaling + split/Mondrian/weighted CP + cost-aware deferral,A combined calibrated conformal deferral pipeline reduces retained-case error at 80% coverage by 49.6% ID and 46.7% OOD; weighted CP is most robust under temporal shift.,"Tabular sepsis triage, not imaging/surgery; weighted CP assumes access to unlabeled target covariates."
RI26,Uncertainty Sets for Image Classifiers Using Conformal Prediction,"Angelopoulos AN, Bates S, Jordan M, Malik J",2021,ICLR,Conformal classification foundation,,https://mlanthology.org/iclr/2021/angelopoulos2021iclr-uncertainty/,General,Classification,Conformal prediction,RAPS prediction sets,Conformal prediction can wrap a classifier to achieve finite-sample marginal coverage under exchangeability with efficient label sets.,Coverage guarantee relies on calibration/test exchangeability unless using shift-aware variants.
RI27,Conformal Prediction Under Covariate Shift,"Tibshirani RJ, Barber RF, Candès EJ, Ramdas A",2019,NeurIPS,Shift-aware conformal foundation,,https://papers.nips.cc/paper/2019/hash/8fb21ee7a2207526da55a679f0332de2-Abstract.html,General,Prediction sets/intervals,Conformal under shift,Importance-weighted conformal prediction,Coverage can be extended to covariate shift using likelihood-ratio weighting when the shift assumptions and density ratios are available/estimable.,Assumes covariate-shift structure and reliable weighting; not arbitrary concept shift.
RI28,Adaptive Conformal Inference Under Distribution Shift,"Gibbs I, Candès E",2021,NeurIPS,Online shift-aware conformal foundation,,https://proceedings.neurips.cc/paper/2021/hash/0d441de75945e5acbc865406fc9a2559-Abstract.html,General,Online prediction sets,Adaptive conformal,Adaptive online alpha update,Adaptive conformal inference targets long-run coverage under time-varying distributions without ordinary exchangeability.,Long-run frequency control differs from per-case or subgroup guarantees.
RI29,"Distribution-free, Risk-controlling Prediction Sets","Bates S, Angelopoulos A, Lei L, Malik J, Jordan MI",2021,Journal of the ACM 68(6),Risk-control foundation,10.1145/3478535,https://doi.org/10.1145/3478535,General,Classification/multilabel/segmentation,Risk control,Risk-controlling prediction sets,Extends finite-sample risk control beyond simple classification coverage to general losses including image segmentation.,Holdout calibration and risk definition are central; not a surgical deployment guarantee by itself.
RI30,Conformal Prediction for Image Segmentation Using Morphological Prediction Sets,"Mossina L, Friedrich C",2025,MICCAI 2025,Medical segmentation conformal,10.1007/978-3-032-04965-0_8,https://doi.org/10.1007/978-3-032-04965-0_8,Medical imaging,Binary segmentation,Conformal segmentation,Morphological dilation prediction sets,Model-agnostic conformal mask margins provide coverage-controlled segmentation uncertainty on medical applications.,Binary masks; morphology-based coverage does not directly solve instance-level surgical segmentation.
RI31,Conformal forecasting for surgical instrument trajectory,Sangalli S et al.,2025,MICCAI 2025,Direct surgical conformal primary,,https://papers.miccai.org/miccai-2025/0168-Paper0260.html,Surgical direct,Instrument trajectory forecasting,Conformal prediction,Standard CP + conformalized quantile regression,Direct surgical guidance work applies CP/CQR to instrument trajectory forecasts with coverage/interval-size evaluation and multiple-testing corrections.,"Trajectory forecasting, not phase recognition or image segmentation; in-house data."
RI32,A critical perspective on finite sample conformal prediction theory in medical applications,Kladny KR et al.,2026,Artificial Intelligence in Medicine 180:103462,Medical conformal critique,10.1016/j.artmed.2026.103462,https://doi.org/10.1016/j.artmed.2026.103462,Medical imaging,Medical classification,Conformal assumptions/calibration-size,Theory + empirical critique,Marginal finite-sample coverage can be practically misleading with small one-time calibration sets because calibration-set-conditional coverage varies substantially.,Does not invalidate conformal theory; clarifies what the standard marginal guarantee does and does not mean.
RI33,Reliable Uncertainty Under Class Imbalance and Distribution Shift: Class-Conditional Conformal Prediction of Multiple Sclerosis,Millar AS et al.,2026,medRxiv / PubMed-indexed preprint,Medical conformal under shift,10.64898/2026.05.12.26353057,https://www.medrxiv.org/content/10.64898/2026.05.12.26353057v1,Medical imaging,MRI classification,Class-conditional conformal under shift,Marginal vs class-conditional CP across scanner/degradation shifts,"Marginal CP can hide severe minority-class undercoverage: at 1.5T, MS coverage was 16.9% vs 95.2% controls; class-conditional CP improved MS coverage to 77.5%.",Preprint and non-surgical; even class-conditional coverage remained below nominal under severe shift.
RI34,Beyond Uncertainty: Generalizable Failure Monitoring for Surgical Segmentation under Acquisition Degradation,"Pham HD, Cao DPM, Huynh TT",2026,arXiv:2608.16748 / MICCAI 2026 UNSURE workshop,Direct surgical recent preprint/workshop,10.48550/arXiv.2608.16748,https://arxiv.org/abs/2608.16748,Surgical direct,Instrument segmentation,Failure monitoring + conformal calibration under shift,TCSR-Monitor: confidence + shape + temporal consistency + image quality; Mondrian conformal calibration,"Directly targets confident surgical segmentation failures under acquisition degradation; within corrupted frames reports AUROC 0.946 versus entropy 0.594 and shows severity-aware conformal calibration, but false alarms remain substantial.",Very recent; EndoVis 2017/corruption benchmark; global threshold false alarms up to ~40% at moderate corruption and SAM2 transfer limitations.
RI35,Measuring Calibration in Deep Learning,Nixon J et al.,2019,CVPR Workshops,Calibration metric methodology,,https://openaccess.thecvf.com/content_CVPRW_2019/html/Uncertainty_and_Robustness_in_Deep_Visual_Learning/Nixon_Measuring_Calibration_in_Deep_Learning_CVPRW_2019_paper.html,General,Classification,Calibration metrics,ECE variants / adaptive calibration,"Calibration conclusions can depend strongly on binning, class conditioning, probability selection and norm; ECE alone is insufficient.",General classification.
RI36,A Novel Characterization of the Population Area Under the Risk Coverage Curve (AURC) and Rates of Finite Sample Estimators,Zhou H et al.,2025,ICML 2025,Selective-prediction metric methodology,,https://proceedings.mlr.press/v267/zhou25y.html,General,Selective classification,Risk-coverage metric,AURC statistical characterization,Formalizes AURC as a principal metric for evaluating selective classifiers across coverage thresholds.,General classification; segmentation risk must be defined task-appropriately.
