source_id,title,authors,year,venue,evidence_type,doi,url,network_focus,main_finding,limitation
NW13,Construction of redundant communications to enhance safety against communication interruptions during robotic remote surgery,Morohashi H et al.,2023,Scientific Reports 13,Peer-reviewed experimental study,10.1038/s41598-023-37730-9,https://doi.org/10.1038/s41598-023-37730-9,Dual links; packet duplication; failover,"Two commercial lines and redundant encoder interfaces were used; across 16 pig surgeries, 175 line switches were induced and no surgeon-detected abnormalities coincided with switching.",Animal study and specific redundancy design; brief switching-gap behavior can depend on path delay asymmetry.
NW14,"Safety and reliability of telesurgery in China: a multicenter, single-arm, phase I clinical trial",Tai S et al.,2025,International Journal of Surgery,Peer-reviewed clinical trial,10.1097/JS9.0000000000002792,https://doi.org/10.1097/JS9.0000000000002792,Clinical network metrics; codec; frame loss; seamless switching,"18 patients across four hospitals: mean RTT 38.38±13.25 ms, jitter 0.39±0.29 ms, encode/decode latency 20.02±0.06 ms, code rate 12.77±0.57 Mbps, display latency 21.35±3.42 ms; no frame loss.",Single-arm clinical feasibility; system-specific network/video optimization.
NW15,Reliability of urological telesurgery compared with local surgery: multicentre randomised controlled trial,Wang Y et al.,2026,BMJ 392:e083588,Peer-reviewed randomized controlled trial,10.1136/bmj-2024-083588,https://doi.org/10.1136/bmj-2024-083588,Clinical network latency; display latency; frame loss; system malfunction,"72 participants randomized; telesurgery was non-inferior to local surgery under trial conditions; telesurgery distances 1000–2800 km, mean RTT 20.1–47.5 ms and 0–1.5 lost frames per telesurgery.",Trial conditions were well-controlled; does not establish tolerance to degraded networks.
NW16,Feasibility and Safety of Cross-Regional 5G-Enabled Remote Robot-Assisted Laparoscopic Surgery: A Retrospective Case Series of 21 Patients,Pan Y et al.,2026,International Journal of Medical Robotics and Computer Assisted Surgery 22:e70214,Peer-reviewed clinical case series,10.1002/rcs.70214,https://doi.org/10.1002/rcs.70214,Redundant 5G; RTT; jitter; loss; protocol thresholds,"21 Toumai procedures over ~3700 km: mean RTT 37.7±5.6 ms, jitter 2.2±0.5 ms, no packet loss/interruption; preset local network criteria and backup carriers were used.",Retrospective; observed stable range does not validate failure thresholds.
NW17,Establishing an international clinical framework for telesurgery: the first bidirectional transatlantic procedure across a world-record distance,Almazeedi S et al.,2026,Journal of Robotic Surgery,Peer-reviewed clinical report,10.1007/s11701-026-03367-9,https://doi.org/10.1007/s11701-026-03367-9,Transatlantic latency; jitter; loss; uptime,"Bidirectional procedures across >12,000 km reported mean latency ~196 ms, jitter 1 ms, packet loss 0.19%, and 100% connection uptime.",Small clinical report; platform/control architecture and delay definition matter.
NW18,A New Technological Approach to Robotic Telesurgery with Starlink: Safe Telesurgery,Ueda K et al.,2025,Annals of Thoracic Surgery Short Reports 3:867–871,Peer-reviewed animal study,10.1016/j.atssr.2025.04.018,https://doi.org/10.1016/j.atssr.2025.04.018,LEO satellite; RTT variability; image disturbance,"Swine lung telesurgery over ~1000 km via Starlink reported average RTT ~130 ms and brief image/operation disturbances about every five minutes, possibly related to switching/weather.",Animal experiment; satellite conditions can vary temporally and causality of disturbances was not proven.
NW19,Real-world evaluation of low-earth-orbit satellite communication for surgical telementoring: implications for future robotic surgery,Oki E et al.,2026,Journal of Robotic Surgery,Peer-reviewed field evaluation,10.1007/s11701-026-03936-y,https://doi.org/10.1007/s11701-026-03936-y,LEO temporal variability; bitrate; freezing,"One session averaged 34.4 ms latency and 2.51 Mbps, but the same setup next day reached 765-ms maximum latency and low-bitrate periods with marked quality deterioration; other configurations had intermittent freezing.",Telementoring rather than robot control; nonetheless strong evidence of LEO temporal variability.
NW20,Feasibility and safety evaluation of remote robotic surgery under high latency conditions based on satellite communication,Zhang G et al.,2025,Intelligent Surgery,Peer-reviewed clinical report,10.1016/j.isurg.2025.05.001,https://doi.org/10.1016/j.isurg.2025.05.001,GEO satellite; high-latency control,Two human liver resections used APSTAR-6D with average end-to-end latency 632 ms and low Mbps links; specialized high-delay control enabled completion.,Two cases and specialized control system; not evidence that ordinary telesurgery tolerates 632 ms.
NW21,The era of telesurgery: insights from ultra-long-distance Asia to Middle East human telesurgery robotic assisted radical prostatectomy,Aldousari S et al.,2025,Journal of Robotic Surgery 19:108,Peer-reviewed clinical report,10.1007/s11701-025-02274-9,https://doi.org/10.1007/s11701-025-02274-9,~7000-km fiber; backups; cloud/VPN; RTT,Shanghai–Kuwait Toumai case reported average RTT 181.4 ms; fiber primary with 5G/wired backups and bedside robotic-surgeon takeover capability.,Single international case; deployment-specific cloud/routing architecture.
NW22,Safety and feasibility of telerobotic cholecystectomy via a 5G network: a prospective controlled clinical trial,Yang X et al.,2025,Surgical Endoscopy 39:7336–7346,Peer-reviewed clinical trial,10.1007/s00464-025-12005-8,https://doi.org/10.1007/s00464-025-12005-8,5G delay; jitter; loss; bandwidth; standby,"20 remote cases over ~70 km reported average network delay 43.4 ms, jitter 4 ms, packet loss <1%, upload 98.3 Mbps and download 213 Mbps; later synthesis reports a ~3-s signal interruption triggering robot standby.",Delay terminology is study-specific; standby detail comes from later review.
NW23,Safety and feasibility of robot-assisted remote radical gastrectomy for gastric cancer based on 5G communication technology (FUTURE-04),Guo Y et al.,2026,Gastric Cancer 29:238–249,Peer-reviewed prospective clinical trial,10.1007/s10120-025-01687-7,https://doi.org/10.1007/s10120-025-01687-7,Network RTT vs total delay; packet loss,"27 cases over 15 km reported network RTT 31.6±3.8 ms but total delay 226.2±4.4 ms, showing that network RTT is not total teleoperation latency; packet loss <0.1%.",Short distance; total-delay decomposition is platform-specific.
NW24,Telerobotic partial nephrectomy and radical prostatectomy using a hybrid network: A single-center prospective experience,Pokhrel A et al.,2026,European Journal of Surgical Oncology 52:111963,Peer-reviewed clinical study,10.1016/j.ejso.2026.111963,https://doi.org/10.1016/j.ejso.2026.111963,Fiber vs 5G hybrid network latency,13 cases over ~25 km reported median latency 12 ms over fiber and 46 ms over 5G with no major network disruptions.,Single centre and short distance.
NW25,Application of 5G Remote Robotic-assisted Laparoscopy in Urological Surgery: A Small Sample Analysis,Zhou H et al.,2025,Urology 197:110–114,Peer-reviewed clinical series,10.1016/j.urology.2024.11.019,https://doi.org/10.1016/j.urology.2024.11.019,5G latency; loss; throughput,"14 cases over 52 km reported 0% packet loss, 216.5 Mbps down/86.6 Mbps up, and study-defined minimum/maximum latency measures.",Small cohort; reported latency terms are not RTT.
NW26,RTP: A Transport Protocol for Real-Time Applications (RFC 3550),Schulzrinne H et al.,2003,IETF RFC 3550,Internet standard,,https://www.rfc-editor.org/rfc/rfc3550,RTP sequence/timestamps; RTCP loss/jitter measurement,Defines RTP interarrival jitter from packet spacing relative to RTP timestamps and distinguishes transient congestion/jitter from persistent loss indicators.,"Generic real-time media standard, not telesurgery-specific."
NW27,RTP Payload Format for H.264 Video (RFC 6184),Wang Y-K et al.,2011,IETF RFC 6184,Internet standard,,https://www.rfc-editor.org/rfc/rfc6184,H.264 NAL packetization; fragmentation-loss effects,A lost fragment can invalidate the remaining fragments of the same NAL unit; loss therefore does not map one-to-one to a dropped video frame.,Codec payload standard; actual decoder concealment is implementation-dependent.
NW28,RTP Payload Format for High Efficiency Video Coding (HEVC) (RFC 7798),Wang Y-K et al.,2016,IETF RFC 7798,Internet standard,,https://www.rfc-editor.org/rfc/rfc7798,HEVC packetization; congestion/loss; bitrate adaptation,"Requires congestion responsiveness; real-time encoders can adapt bitrate via quantization, while scalable streams may drop enhancement-layer NAL units.",Generic media transport; telesurgical systems may use proprietary codecs.
NW29,RTP Retransmission Payload Format (RFC 4588),Rey J et al.,2006,IETF RFC 4588,Internet standard,,https://www.rfc-editor.org/rfc/rfc4588,NACK/retransmission trade-off,Retransmission can recover selected lost media packets but consumes bandwidth and time; it is useful only when retransmitted data can arrive before its playout deadline.,Generic RTP recovery mechanism.
NW30,WebRTC Forward Error Correction Requirements (RFC 8854),Uberti J et al.,2021,IETF RFC 8854,Internet standard,,https://www.rfc-editor.org/rfc/rfc8854,FEC vs retransmission; latency/bandwidth trade-off,"FEC proactively spends bandwidth; RTX/FEC retransmission is preferred when RTT fits the latency budget, while proactive FEC may be useful when waiting a round trip is too slow.",WebRTC guidance; not proof of a particular telesurgical implementation.
NW31,Congestion Control Requirements for Interactive Real-Time Media (RFC 8836),"Jesup R, Sarker Z",2021,IETF RFC 8836,Internet standard,,https://www.rfc-editor.org/rfc/rfc8836,Low-delay media; jitter buffers; late data,"Interactive media needs low delay; moderate jitter can be absorbed by jitter buffers, but late real-time media may become useless.",Generic interactive-media requirements.
NW32,Self-Clocked Rate Adaptation for Multimedia (RFC 8298),"Johansson I, Sarker Z",2017,IETF RFC 8298,Experimental RFC,,https://www.rfc-editor.org/rfc/rfc8298,Congestion-controlled media rate adaptation,"SCReAM links congestion signals, RTP queue delay and loss events to a target media bitrate, illustrating how network conditions can drive encoder-rate changes.","One generic RTP congestion-control design, not a telesurgery requirement."
NW33,Error concealment schemes for H.264/AVC and H.265/HEVC video decoders,Usman M et al.,2015,Picture Coding Symposium,Peer-reviewed video coding study,10.1109/PCS.2015.7170081,https://doi.org/10.1109/PCS.2015.7170081,Decoder error concealment,"Reviews/spans spatial, temporal and hybrid concealment strategies showing that decoded output after packet loss depends on concealment, not just loss rate.",Generic video coding evidence.
NW34,A study of packet loss effects on H.264 video quality,Tommasi F et al.,2015,Journal of Visual Communication and Image Representation,Peer-reviewed video quality study,10.1016/j.jvcir.2014.12.003,https://doi.org/10.1016/j.jvcir.2014.12.003,H.264 packet loss; bitrate; visual quality,Shows packet-loss impact depends on coding/bitrate and video-quality measurement; lower bitrate can sometimes trade source quality for improved loss resilience.,Non-surgical video; used only for codec-mechanism context.
NW35,On the Robustness of Temporal Vision-Language Models for Surgical Endoscopy Videos,Rashid D et al.,2026,MICCAI 2026,Accepted peer-reviewed conference paper,10.48550/arXiv.2608.14262,https://papers.miccai.org/miccai-2026/0726-Paper4661.html,Downstream surgical AI under visual/packet-loss corruption,"Endo-C6 includes packet-loss bursts alongside defocus, haze, motion blur, shot noise and cautery smoke for temporal surgical/endoscopy VLM evaluation.",Corruption is applied at clip level; it does not establish a physical packet→codec→decoder mapping for a telesurgical stream.
