record_id,title_or_category,decision,reason
NW15,Reliability of urological telesurgery compared with local surgery: multicentre randomised controlled trial,retain,"72 participants randomized; telesurgery was non-inferior to local surgery under trial conditions; telesurgery distances 1000–2800 km, mean RTT 20.1–47.5 ms and 0–1.5 lost frames per telesurgery."
NW16,Feasibility and Safety of Cross-Regional 5G-Enabled Remote Robot-Assisted Laparoscopic Surgery: A Retrospective Case Series of 21 Patients,retain,"21 Toumai procedures over ~3700 km: mean RTT 37.7±5.6 ms, jitter 2.2±0.5 ms, no packet loss/interruption; preset local network criteria and backup carriers were used."
NW17,Establishing an international clinical framework for telesurgery: the first bidirectional transatlantic procedure across a world-record distance,retain,"Bidirectional procedures across >12,000 km reported mean latency ~196 ms, jitter 1 ms, packet loss 0.19%, and 100% connection uptime."
NW18,A New Technological Approach to Robotic Telesurgery with Starlink: Safe Telesurgery,retain,"Swine lung telesurgery over ~1000 km via Starlink reported average RTT ~130 ms and brief image/operation disturbances about every five minutes, possibly related to switching/weather."
NW19,Real-world evaluation of low-earth-orbit satellite communication for surgical telementoring: implications for future robotic surgery,retain,"One session averaged 34.4 ms latency and 2.51 Mbps, but the same setup next day reached 765-ms maximum latency and low-bitrate periods with marked quality deterioration; other configurations had intermittent freezing."
NW20,Feasibility and safety evaluation of remote robotic surgery under high latency conditions based on satellite communication,retain,Two human liver resections used APSTAR-6D with average end-to-end latency 632 ms and low Mbps links; specialized high-delay control enabled completion.
NW21,The era of telesurgery: insights from ultra-long-distance Asia to Middle East human telesurgery robotic assisted radical prostatectomy,retain,Shanghai–Kuwait Toumai case reported average RTT 181.4 ms; fiber primary with 5G/wired backups and bedside robotic-surgeon takeover capability.
NW22,Safety and feasibility of telerobotic cholecystectomy via a 5G network: a prospective controlled clinical trial,retain,"20 remote cases over ~70 km reported average network delay 43.4 ms, jitter 4 ms, packet loss <1%, upload 98.3 Mbps and download 213 Mbps; later synthesis reports a ~3-s signal interruption triggering robot standby."
NW23,Safety and feasibility of robot-assisted remote radical gastrectomy for gastric cancer based on 5G communication technology (FUTURE-04),retain,"27 cases over 15 km reported network RTT 31.6±3.8 ms but total delay 226.2±4.4 ms, showing that network RTT is not total teleoperation latency; packet loss <0.1%."
NW24,Telerobotic partial nephrectomy and radical prostatectomy using a hybrid network: A single-center prospective experience,retain,13 cases over ~25 km reported median latency 12 ms over fiber and 46 ms over 5G with no major network disruptions.
NW25,Application of 5G Remote Robotic-assisted Laparoscopy in Urological Surgery: A Small Sample Analysis,retain,"14 cases over 52 km reported 0% packet loss, 216.5 Mbps down/86.6 Mbps up, and study-defined minimum/maximum latency measures."
NW26,RTP: A Transport Protocol for Real-Time Applications (RFC 3550),retain,Defines RTP interarrival jitter from packet spacing relative to RTP timestamps and distinguishes transient congestion/jitter from persistent loss indicators.
NW27,RTP Payload Format for H.264 Video (RFC 6184),retain,A lost fragment can invalidate the remaining fragments of the same NAL unit; loss therefore does not map one-to-one to a dropped video frame.
NW28,RTP Payload Format for High Efficiency Video Coding (HEVC) (RFC 7798),retain,"Requires congestion responsiveness; real-time encoders can adapt bitrate via quantization, while scalable streams may drop enhancement-layer NAL units."
NW29,RTP Retransmission Payload Format (RFC 4588),retain,Retransmission can recover selected lost media packets but consumes bandwidth and time; it is useful only when retransmitted data can arrive before its playout deadline.
NW30,WebRTC Forward Error Correction Requirements (RFC 8854),retain,"FEC proactively spends bandwidth; RTX/FEC retransmission is preferred when RTT fits the latency budget, while proactive FEC may be useful when waiting a round trip is too slow."
NW31,Congestion Control Requirements for Interactive Real-Time Media (RFC 8836),retain,"Interactive media needs low delay; moderate jitter can be absorbed by jitter buffers, but late real-time media may become useless."
NW32,Self-Clocked Rate Adaptation for Multimedia (RFC 8298),retain,"SCReAM links congestion signals, RTP queue delay and loss events to a target media bitrate, illustrating how network conditions can drive encoder-rate changes."
NW33,Error concealment schemes for H.264/AVC and H.265/HEVC video decoders,retain,"Reviews/spans spatial, temporal and hybrid concealment strategies showing that decoded output after packet loss depends on concealment, not just loss rate."
NW34,A study of packet loss effects on H.264 video quality,retain,Shows packet-loss impact depends on coding/bitrate and video-quality measurement; lower bitrate can sometimes trade source quality for improved loss resilience.
NW35,On the Robustness of Temporal Vision-Language Models for Surgical Endoscopy Videos,retain,"Endo-C6 includes packet-loss bursts alongside defocus, haze, motion blur, shot noise and cautery smoke for temporal surgical/endoscopy VLM evaluation."
X01,Generic telemedicine/video-conferencing latency papers,exclude-scope,No surgical robot/control or downstream surgical-video relevance.
X02,Manufacturer marketing latency claims without independent validation,context-only,Retain only when needed to describe a deployment and label as manufacturer-reported.
X03,Pure cybersecurity attack literature,defer,"Security architecture matters, but attack/defence research is not the main P0.6 network→video question."
X04,Autonomous surgical-robot networking papers without remote human teleoperation,exclude-scope,Different control/safety regime.
X05,Wireless networking simulations with no surgical system,deprioritize,Useful engineering background but weak direct evidence.
X06,Generic ImageNet/video-streaming robustness papers,adjacent-only,May inform codec mechanism but are not direct surgical evidence.
X07,AI papers using frame drop without networking rationale,defer-P0.7,Do not call these network-induced without mechanistic support.
X08,Old telesurgery reviews that only repeat historical thresholds,deprioritize,Prefer primary experiments and current guidelines.
X09,Pure haptic-delay control papers without video/AI relevance,deprioritize,Control implications recorded only where they shape network thresholds.
X10,Satellite publicity reports without methods/telemetry,exclude-quality,Use peer-reviewed satellite evidence or clearly labelled manufacturer claims.
X11,Single metric “ping” reports without delay-definition clarity,exclude-quality,"RTT, one-way, added, display and total delay must remain separate."
X12,Codec claims without identified transport/encoder/decoder layer,exclude-quality,Mechanism must be traceable before inclusion in experimental mapping.
