source_id,title,authors,year,venue,source_type,doi,task,dataset,procedure,role_in_P0_2
SV15,"Video dataset for surgical phase, keypoint, and instrument recognition in laparoscopic surgery (PhaKIR)",Rueckert T et al.,2026,Data in Brief 68:113147,Dataset descriptor,10.1016/j.dib.2026.113147,phase; keypoint; instance segmentation,PhaKIR public release,laparoscopic cholecystectomy,Multicentre public dataset descriptor
SV16,A Dataset and Benchmarks for Segmentation and Recognition of Gestures in Robotic Surgery,Ahmidi N et al.,2017,IEEE TBME 64(9):2025–2041,Dataset/benchmark,10.1109/TBME.2016.2647680,gesture; skill,JIGSAWS,robotic training tasks,Canonical robotic video+kinematics benchmark
SV17,Rendezvous: Attention mechanisms for the recognition of surgical action triplets in endoscopic videos,Nwoye CI et al.,2022,Medical Image Analysis 78:102433,Method + dataset,10.1016/j.media.2022.102433,instrument-verb-target triplets,CholecT50,laparoscopic cholecystectomy,Fine-grained action benchmark
SV18,ESAD: Endoscopic Surgeon Action Detection Dataset,Bawa VS et al.,2020,Zenodo/arXiv,Dataset,10.5281/zenodo.4471476,action detection,ESAD/MESAD,robot-assisted radical prostatectomy,Robotic action localisation
SV19,SAR-RARP50: Segmentation of surgical instrumentation and Action Recognition on Robot-Assisted Radical Prostatectomy Challenge,Psychogyios D et al.,2024,EndoVis/arXiv:2401.00496,Challenge,10.48550/arXiv.2401.00496,instrument segmentation; action recognition,SAR-RARP50,robot-assisted radical prostatectomy,Robotic procedure benchmark
SV20,2017 Robotic Instrument Segmentation Challenge,Allan M et al.,2019,EndoVis/arXiv:1902.06426,Challenge,10.48550/arXiv.1902.06426,instrument segmentation,EndoVis 2017,robotic/porcine,Canonical robotic instrument segmentation
SV21,2018 Robotic Scene Segmentation Challenge,Allan M et al.,2020,EndoVis/arXiv:2001.11190,Challenge,10.48550/arXiv.2001.11190,scene segmentation,EndoVis 2018,robotic/porcine,Robotic scene segmentation
SV22,Comparative validation of multi-instance instrument segmentation in endoscopy: Results of the ROBUST-MIS 2019 challenge,Roß T et al.,2021,Medical Image Analysis 70:101920,Challenge,10.1016/j.media.2020.101920,binary/instance segmentation; detection,ROBUST-MIS,colorectal laparoscopy,Explicit domain-gap robustness benchmark
SV23,CaDIS: Cataract dataset for surgical RGB-image segmentation,Grammatikopoulou M et al.,2021,Medical Image Analysis 71:102053,Dataset,10.1016/j.media.2021.102053,semantic segmentation,CaDIS,cataract surgery,Dense anatomy+instrument segmentation
SV24,CholecSeg8k: A Semantic Segmentation Dataset for Laparoscopic Cholecystectomy Based on Cholec80,Hong WY et al.,2020,arXiv:2012.12453,Dataset,10.48550/arXiv.2012.12453,semantic segmentation,CholecSeg8k,laparoscopic cholecystectomy,Common scene segmentation subset
SV25,"Endoscapes, a critical view of safety and surgical scene segmentation dataset for laparoscopic cholecystectomy",Mascagni P et al.,2025,Scientific Data 12:331,Dataset descriptor,10.1038/s41597-025-04642-4,detection; scene segmentation; CVS,Endoscapes2023,laparoscopic cholecystectomy,Anatomy/instrument/safety-state benchmark
SV26,CholecInstanceSeg: A Tool Instance Segmentation Dataset for Laparoscopic Surgery,Alabi O et al.,2025,Scientific Data 12:825,Dataset descriptor,10.1038/s41597-025-05163-w,tool instance segmentation,CholecInstanceSeg,laparoscopic cholecystectomy,Large human tool-instance dataset
SV27,SurgicalSAM: Efficient Class Promptable Surgical Instrument Segmentation,Yue W et al.,2024,AAAI 38(7):6890–6898,Method,10.1609/aaai.v38i7.28514,instrument segmentation,EndoVis 2017/2018,robotic surgery,Foundation-model adaptation
SV28,Learning multi-modal representations by watching hundreds of surgical video lectures,Yuan K et al.,2025,Medical Image Analysis 105:103644,Method,10.1016/j.media.2025.103644,video-language pretraining,"1,400 lectures + downstream sets",multi-procedure,Emerging surgical video-language representation
SV29,Surgical Visual Understanding (SurgVU) Dataset,Zia A et al.,2025,arXiv:2501.09209 / Grand Challenge,Dataset/challenge,10.48550/arXiv.2501.09209,tool/task visual understanding,SurgVU,da Vinci training exercises,Very large robotic training-video resource
SV30,Cataract-101: Video Dataset of 101 Cataract Surgeries,Schoeffmann K et al.,2018,ACM MMSys,Dataset,10.1145/3204949.3208137,workflow/video analysis,Cataract-101,cataract surgery,Non-laparoscopic workflow benchmark
SV31,CATARACTS: Challenge on Automatic Tool Annotation for Cataract Surgery,Al Hajj H et al.,2019,Medical Image Analysis 52:24–41,Challenge,10.1016/j.media.2018.11.008,tool presence/usage,CATARACTS,cataract surgery,Tool-recognition benchmark
SV32,Metrics Matter in Surgical Phase Recognition,Funke I et al.,2023,arXiv:2305.13961,Benchmark methodology,10.48550/arXiv.2305.13961,phase evaluation,Cholec80,laparoscopic cholecystectomy,Metric-protocol comparability warning
SV33,Endoscopic Vision (EndoVis) challenge and dataset ecosystem,MICCAI EndoVis,2026,Grand Challenge,Official benchmark ecosystem,,segmentation; recognition; tracking; phase; keypoints; actions,multiple EndoVis datasets,multiple,Benchmark ecosystem index
