id,title,authors,year,venue,type,doi,url,task,shift,dataset,method,main,limit
SH11,Rethinking causality-driven robot tool segmentation with temporal constraints,Ding H et al.,2023,International Journal of Computer Assisted Radiology and Surgery 18:1009–1016,Peer-reviewed primary,10.1007/s11548-023-02872-8,https://doi.org/10.1007/s11548-023-02872-8,Robot-tool segmentation,Unseen visual domains including smoke/blood; temporal robustness context,CaRTS video-domain experiments,Temporal constraints + kinematics correction + spatio-temporal regularization,Temporal observability improves CaRTS convergence and maintains performance across tested domains.,Not a controlled frame-loss/jitter study.
SH12,Simulation-to-real domain adaptation with teacher–student learning for endoscopic instrument segmentation,Sahu M et al.,2021,International Journal of Computer Assisted Radiology and Surgery 16:849–859,Peer-reviewed primary,10.1007/s11548-021-02383-4,https://doi.org/10.1007/s11548-021-02383-4,Instrument segmentation,Simulation-to-real; real-domain visual gap,Simulation + three real endoscopic datasets,Teacher–student UDA using labeled synthetic + unlabeled real data,Unlabeled real target frames improve sim-to-real segmentation over pure simulation training.,UDA assumes access to target-domain unlabeled data.
SH13,Graph-Based Surgical Instrument Adaptive Segmentation via Domain-Common Knowledge,"Liu J, Guo X, Yuan Y",2022,IEEE Transactions on Medical Imaging 41:715–726,Peer-reviewed primary,10.1109/TMI.2021.3121138,https://doi.org/10.1109/TMI.2021.3121138,Instrument segmentation,Unlabeled target-domain shift,Multiple surgical segmentation domain-adaptation tasks,Interactive Graph Network; domain-common knowledge UDA,Representative surgical UDA work showing target-domain adaptation is already well established as a method family.,Needs unlabeled target domain; not unseen-domain DG.
SH14,Generalizing Surgical Instruments Segmentation to Unseen Domains with One-to-Many Synthesis,Wang A et al.,2023,IEEE/RSJ IROS 2023,Peer-reviewed conference,10.1109/IROS55552.2023.10341609,https://doi.org/10.1109/IROS55552.2023.10341609,Instrument segmentation,Unseen real domains / site-patient appearance variation,Endo2017; Endo2018; RoboTool,One-to-many synthetic composition + hybrid augmentation,Synthetic data diversification can improve unseen-domain surgical instrument segmentation.,Synthetic compositing does not reproduce every clinical shift mechanism.
SH15,SDA-CLIP: surgical visual domain adaptation using video and text labels,Li Y et al.,2023,Quantitative Imaging in Medicine and Surgery 13,Peer-reviewed primary,10.21037/qims-23-376,https://doi.org/10.21037/qims-23-376,Surgical action recognition,Virtual-reality/simulation to clinical domain,SurgVisDom,Video-text CLIP domain adaptation,Video-text semantic alignment improves hard and soft cross-domain surgical action recognition.,VR-to-clinical adaptation is not equivalent to hospital or communication shift.
SH16,Few-shot learning for surgical phase recognition: Performance and generalization in cholecystectomy,Bajraktari F et al.,2026,Computer Methods and Programs in Biomedicine 282:109386,Peer-reviewed primary,10.1016/j.cmpb.2026.109386,https://doi.org/10.1016/j.cmpb.2026.109386,Phase recognition,Cross-domain/domain-specific transfer with few-shot support,Cholec80 + non-surgical/action pretraining splits,Transformer few-shot learning,Performance declines as training domain moves farther from surgical target; domain-specific support remains important.,Split definitions are study-specific and not a multicentre clinical benchmark.
SH17,Robustness evaluation of deep neural networks for endoscopic image analysis: Insights and strategies,Jaspers TJM et al.,2024,Medical Image Analysis 94:103157,Peer-reviewed adjacent endoscopy robustness study,10.1016/j.media.2024.103157,https://doi.org/10.1016/j.media.2024.103157,"GI endoscopic CADe/CADx (adjacent, not surgery)",Clinically calibrated blur/exposure/color/compression/resolution distortions; compound corruption,Multiple endoscopy datasets + low-quality test set,Clinically calibrated 10-level corruptions; augmentation/pretraining analysis,"Provides a strong severity-calibration and compound-corruption protocol precedent transferable as methodology, not surgical evidence.",GI endoscopy cancer detection/diagnosis rather than surgical video.
SH18,On the Robustness of Temporal Vision-Language Models for Surgical Endoscopy Videos,Rashid D et al.,2026,MICCAI 2026 / arXiv 2608.14262,Accepted conference preprint,10.48550/arXiv.2608.14262,https://arxiv.org/abs/2608.14262,Temporal surgical/endoscopic video-language understanding,Defocus; haze; motion blur; shot noise; cautery smoke; packet-loss bursts,Kvasir; TEMSET-24K; CholecT50,Endo-C6 fixed-high-severity controlled OOD benchmark + few-shot VeRA adaptation,Emerging direct evidence that packet-loss-like and visual corruptions can collapse temporal VLM performance.,Very recent; fixed high severity; task is TVLM/video-text rather than conventional phase/segmentation.
SH19,Performance and Non-adversarial Robustness of the Segment Anything Model 2 in Surgical Video Segmentation,Shen Y et al.,2024,arXiv 2408.04098,Preprint,10.48550/arXiv.2408.04098,https://arxiv.org/abs/2408.04098,Surgical video segmentation,Smoke; bleeding; low illumination on SegSTRONG-C,SegSTRONG-C,Zero-shot SAM2 prompt-strategy robustness evaluation,Foundation video segmentation is also evaluated under surgical non-adversarial corruptions; temporal prompting can affect robustness.,Preprint; prompt-based zero-shot setting.
SH20,Reducing prediction volatility in the surgical workflow recognition of endoscopic pituitary surgery,Das A et al.,2022,International Journal of Computer Assisted Radiology and Surgery 17:1445–1452,Peer-reviewed primary,10.1007/s11548-022-02599-y,https://doi.org/10.1007/s11548-022-02599-y,Phase/step recognition,Temporal instability from occlusion/endoscope withdrawal (not a controlled network shift),50 pituitary-surgery videos,Prediction-volatility metric + modal/threshold smoothing,Temporal prediction instability is clinically relevant and can be reduced by smoothing.,"Does not manipulate frame loss, jitter or packet loss."
SH21,SurgflowNet: Leveraging unannotated video for consistent endoscopic pituitary surgery workflow recognition,Wijekoon A et al.,2026,Artificial Intelligence in Medicine 172:103309,Peer-reviewed primary,10.1016/j.artmed.2025.103309,https://doi.org/10.1016/j.artmed.2025.103309,Workflow recognition,Temporal prediction consistency; limited-label setting,Pituitary surgical video / PitVis context,Unannotated video + consistency loss,Consistency-focused training reduces unstable workflow predictions.,Temporal consistency is not equivalent to communication-induced video corruption.
SH22,ROBUST-MIPS: A Combined Skeletal Pose and Instance Segmentation Dataset for Laparoscopic Surgical Instruments,Han Z et al.,2026,Scientific Data 13:684,Peer-reviewed dataset descriptor,10.1038/s41597-026-06938-5,https://doi.org/10.1038/s41597-026-06938-5,Instrument pose + instance segmentation,Inherits ROBUST-MIS procedure-domain structure,"10,040 ROBUST-MIS images with added pose labels",Pose/segmentation benchmark extension,Extends the established robustness dataset to pose estimation and richer tool localization.,Derived from ROBUST-MIS; not independent shift evidence.
SH23,Domain-agnostic weakly supervised surgical instrument segmentation,Peter R et al.,2026,Scientific Reports 16:9337,Peer-reviewed primary,10.1038/s41598-026-43054-1,https://doi.org/10.1038/s41598-026-43054-1,Instrument segmentation,Cross surgical domain and imaging modality,EndoVis2017; CaDIS; PASO-SIS,PatchCore anomaly localization + SAM2 prompting,"A domain-agnostic, weakly supervised foundation-model pipeline is evaluated across diverse surgical modalities.",Different tasks/modalities complicate direct performance comparison; not a corruption benchmark.
SH24,RobustSurg: Tackling domain generalisation for out-of-distribution surgical scene segmentation,Ali M et al.,2025,arXiv 2512.02188,Preprint,10.48550/arXiv.2512.02188,https://arxiv.org/abs/2512.02188,Surgical scene segmentation,Unseen centre / imaging modality / style-content variation,CholecSeg8k → newly curated HeiCholSeg; other OOD set,Single-domain DG with style normalization/restitution/whitening,Shows active work specifically targeting surgical OOD scene segmentation from one source domain.,Preprint; curated target dataset and claims require peer-reviewed confirmation.
SH25,CholecInstanceSeg: A Tool Instance Segmentation Dataset for Laparoscopic Surgery,Alabi O et al.,2025,Scientific Data 12:825,Peer-reviewed dataset descriptor / contextual evidence,10.1038/s41597-025-05163-w,https://doi.org/10.1038/s41597-025-05163-w,Tool instance segmentation,"Observed hard cases: motion blur, smoke, blood/occlusion, reflections, lighting, lens dirtiness",CholecInstanceSeg,Annotation protocol explicitly covers difficult visual conditions,Provides direct evidence that several proposed visual-shift factors occur in real laparoscopic data.,Not itself a controlled robustness experiment.
